Batch_ID,Build,TE_ID,Test_Venue,Simulation_Host,SDL,Batch_Attempts,Total_Init_Time,Variant,Run_Type,Ship,Config_File_Name,Script_File_Name,Section_Number,Section_UID,Procedure_Document,P,F,B,U,Issue
94738,40S03.00_R2,147424,FARM1,adc-svr-vl607,40S03.00_R2_SysTest,1,543,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94739,40S03.00_R2,147434,FARM1,adc-svr-vl603,40S03.00_R2_SysTest,2,558,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94740,40S03.00_R2,147376,FARM1,adc-svr-vl549,40S03.00_R2_SysTest,1,550,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94741,40S03.00_R2,147371,FARM1,adc-svr-vl505,40S03.00_R2_SysTest,1,584,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94742,40S03.00_R2,147494,FARM1,adc-svr-vl535,40S03.00_R2_SysTest,1,537,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94743,40S03.00_R2,147477,FARM1,adc-svr-vl507,40S03.00_R2_SysTest,3,550,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,6,1,0,0,"{'4': {'step': '4c', 'type': 'TF', 'issue': ''}}"
94744,40S03.00_R2,147553,FARM1,adc-svr-vl543,40S03.00_R2_SysTest,1,572,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94745,40S03.00_R2,147509,FARM1,adc-svr-vl601,40S03.00_R2_SysTest,2,550,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94746,40S03.00_R2,147157,FARM1,adc-svr-vl543,40S03.00_R2_SysTest,1,552,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94747,40S03.00_R2,147383,FARM1,adc-svr-vl509,40S03.00_R2_SysTest,1,575,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94748,40S03.00_R2,147492,FARM1,adc-svr-vl607,40S03.00_R2_SysTest,1,553,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94749,40S03.00_R2,147498,FARM1,adc-svr-vl619,40S03.00_R2_SysTest,1,547,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
94750,40S03.00_R2,147480,FARM1,adc-svr-vl545,40S03.00_R2_SysTest,2,536,A,Beta,1,t_VMFF_Rx_CANTCO_Com_Prob_Res.xml,datalinks.vmf.t_VMFF_Rx_CANTCO_Com_Prob_Res.py,8a7436f22e3a78d708e894b901731212ed241c1cc65bea1d2f171f5c16ac84f7,TL_VMFF_571,30R06.00-SIT-230,7,0,0,0,N/A
